,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
134,-,-,-,-,-,-,-,0.0,-,-,-,-,0.0,0.0,-,-,-,-,-,-,-,0.0,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
135,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
136,-,0.0,-,-,0.0,0.0,-,-,-,0.0,0.0,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
137,-,0.0,-,-,-,-,0.0,-,-,-,-,0.0,0.0,-,0.1,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
138,0.0,-,-,-,-,0.0,-,-,-,-,0.0,-,-,-,-,-,0.0,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
139,-,-,-,0.0,-,0.1,-,0.1,0.0,0.0,0.1,0.0,-,0.1,0.0,0.0,-,-,-,-,0.0,-,-,-,-,-,0.0,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
140,-,-,-,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,-,-,0.1,-,-,0.0,-,0.0,-,0.0,-,-,-,0.1,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
141,-,-,0.0,-,0.0,-,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,-,-,0.0,0.0,0.0,-,-,-,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
142,-,-,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.3,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.1,0.0,-,0.0,-,-,0.0,-,-,-,-,-,-,-,-,0.0,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
143,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.1,0.3,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.1,-,-,-,-,0.1,-,0.0,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
144,-,-,-,0.1,0.1,0.0,0.0,-,0.2,0.4,0.2,0.3,0.3,0.7,0.5,0.4,0.3,0.5,0.2,0.2,0.2,0.2,0.0,0.1,-,0.0,0.0,0.0,0.1,0.0,-,0.0,-,0.0,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
145,-,-,-,-,0.2,0.0,0.0,0.1,0.2,0.2,0.3,0.3,0.6,0.4,0.4,0.3,0.4,0.5,0.4,0.4,0.5,0.3,0.1,0.1,0.2,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,-,-,-,0.0,-,0.0,-,-,-,-,-,-,-,-,-,0.1,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-
146,-,-,0.0,0.1,-,0.3,0.2,0.3,0.4,0.6,0.4,0.8,0.5,0.6,0.8,0.5,0.8,0.6,0.6,0.4,0.4,0.3,0.3,0.1,0.2,0.1,0.1,0.0,0.0,-,0.1,0.0,0.0,0.0,-,-,-,-,0.1,0.1,-,0.1,-,-,-,-,-,0.0,-,-,-,0.0,-,-,-,-,0.0,-,-,-,-,-,-
147,-,0.0,0.0,0.0,0.0,0.1,0.2,0.6,0.2,0.7,0.9,0.8,0.7,1.6,1.4,1.1,0.9,0.9,0.9,0.7,0.7,0.7,0.6,0.4,0.2,0.2,0.1,0.1,0.2,0.1,0.1,0.1,-,0.1,0.0,-,0.1,0.1,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
148,-,0.1,-,0.0,0.1,0.1,0.0,0.3,0.5,0.7,0.8,1.1,1.2,1.7,2.1,1.9,1.3,1.5,1.3,1.0,1.0,0.7,0.6,0.5,0.5,0.3,0.2,0.1,0.3,0.2,0.2,0.1,0.1,-,0.1,0.0,-,0.0,-,0.0,-,-,0.0,-,-,0.1,0.1,-,-,-,-,-,0.0,-,-,-,-,0.0,-,-,-,-,-
149,-,-,-,0.0,0.0,0.2,0.1,0.4,1.0,0.9,0.9,1.6,1.6,1.6,1.5,1.9,2.0,1.6,1.8,1.7,1.6,1.8,1.0,1.0,1.0,0.4,0.4,0.6,0.3,0.3,0.1,0.2,0.1,0.3,0.1,0.1,0.0,0.1,0.0,0.1,-,0.1,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-
150,-,-,-,-,0.1,0.0,0.3,0.3,0.7,1.3,1.3,1.7,1.8,2.7,2.5,2.8,3.2,2.9,3.0,2.0,1.4,1.8,1.2,1.2,1.3,0.7,0.8,0.6,0.5,0.3,0.2,0.4,0.4,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.0,-,0.1,0.0,-,0.0,-,0.0,-,-,-,0.0,-,-,-,0.0,-,-,-,-,-,-
151,-,-,0.1,-,0.1,0.1,0.1,0.3,0.2,0.8,1.1,2.0,2.7,2.9,2.5,2.8,3.2,3.3,2.9,2.4,3.3,2.0,1.6,2.0,1.3,1.2,0.9,0.6,0.5,0.4,0.3,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.2,0.0,0.0,0.1,0.1,-,-,0.1,-,0.0,0.1,-,-,-,-,-,-,-,-,-,-,-,0.0,-,0.1
152,-,-,0.0,-,0.0,0.1,0.0,0.2,0.5,0.8,1.2,1.7,2.6,2.9,3.4,4.4,3.9,4.4,3.8,3.9,2.8,3.1,3.0,3.0,1.7,1.6,1.4,1.0,1.0,0.4,0.4,0.3,0.2,0.2,0.1,0.2,0.2,0.1,0.0,0.1,0.0,0.1,0.0,-,0.0,0.0,-,-,-,0.1,0.0,0.1,0.0,-,0.1,0.0,0.0,-,-,-,-,0.0,0.0
153,-,-,-,-,-,0.1,0.1,0.3,0.3,0.6,1.2,1.0,2.3,2.4,3.2,4.3,5.1,4.6,4.5,4.5,3.7,3.8,3.0,3.3,2.2,2.0,1.5,1.2,1.0,1.1,0.5,0.6,0.3,0.4,0.2,0.3,0.2,0.2,0.2,0.1,0.1,0.0,0.0,0.0,0.1,0.1,-,0.1,0.1,0.1,0.0,-,-,0.1,-,-,0.0,-,0.0,-,-,-,0.0
154,-,-,-,-,-,0.0,0.2,0.2,0.4,0.7,0.9,1.2,2.0,2.4,3.1,3.7,4.4,5.1,5.0,5.3,4.4,5.0,3.7,3.8,2.2,2.1,2.3,1.2,1.5,1.3,1.2,0.5,0.3,0.4,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.2,0.0,0.0,0.1,-,0.0,0.1,-,-,0.1,-,-,0.0,-,-,-,-,-,-,-,0.0
155,-,-,-,-,-,0.0,-,0.2,0.3,0.5,0.8,1.2,1.7,2.2,3.6,3.8,4.0,6.6,4.8,6.5,5.1,4.1,4.9,4.2,3.2,2.7,2.8,1.8,1.5,1.0,1.1,1.1,0.8,0.6,0.6,0.2,0.2,0.3,0.3,0.2,0.2,0.3,0.2,0.0,0.1,0.2,0.0,0.0,0.1,0.0,0.1,0.1,-,-,-,-,-,-,0.0,0.0,-,-,0.0
156,-,-,-,-,-,0.1,0.0,0.3,0.2,0.4,0.6,1.3,1.9,2.2,2.6,3.8,4.2,4.6,5.2,5.2,5.1,4.8,5.7,5.1,4.2,2.6,2.6,2.7,2.0,1.1,1.6,0.8,1.1,1.0,0.5,0.7,0.8,0.3,0.4,0.3,0.2,0.3,0.2,0.0,0.1,0.1,0.2,0.1,0.1,0.0,0.0,0.1,0.0,-,0.1,-,-,-,-,-,-,-,-
157,-,-,-,-,0.0,-,0.0,0.0,0.1,0.2,0.8,0.8,1.1,1.9,3.2,2.9,4.4,4.9,4.5,5.7,4.5,5.4,4.8,4.8,3.8,3.5,3.4,2.6,1.7,2.0,1.3,0.8,0.8,0.7,0.6,0.2,0.5,0.3,0.4,0.3,0.3,0.2,0.1,0.2,0.2,0.1,0.1,-,0.0,0.1,0.0,0.0,0.0,0.0,-,0.0,-,0.0,-,-,-,-,0.0
158,-,-,-,-,-,-,0.1,-,0.1,0.1,0.6,0.6,1.2,1.9,2.4,3.2,4.2,3.5,5.1,5.3,5.0,4.5,4.9,4.2,4.7,3.8,2.8,2.8,2.6,2.2,0.9,1.0,1.0,0.9,0.8,0.5,0.6,0.4,0.3,0.2,0.2,0.3,0.2,0.3,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,0.2
159,-,-,-,-,-,-,-,0.1,0.1,0.0,0.3,0.4,0.6,1.0,1.3,2.3,2.4,3.2,3.7,4.1,4.5,4.6,4.0,4.9,3.8,3.5,2.6,2.3,2.5,2.5,1.4,1.5,1.1,0.9,0.5,0.6,0.4,0.6,0.3,0.4,0.1,0.1,0.1,0.2,0.0,0.4,0.3,0.1,0.0,0.2,0.0,0.0,-,0.0,0.0,0.1,0.1,-,0.1,-,0.0,0.1,0.1
160,-,-,-,-,0.0,-,-,-,0.0,0.3,0.2,0.2,0.8,0.9,1.7,1.9,2.4,2.9,3.3,3.2,4.1,4.4,4.2,4.0,3.7,3.6,3.3,2.9,2.1,2.2,1.3,1.3,0.9,0.4,0.6,0.8,0.5,0.5,0.7,0.3,0.2,0.2,0.2,0.1,0.1,0.3,0.1,0.3,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.0,-,0.0,0.1,-,-,-,0.2
161,-,-,-,-,-,-,-,-,0.0,0.1,0.1,0.1,0.7,0.5,0.8,1.2,1.8,1.7,2.3,3.2,2.7,2.7,4.2,3.3,4.2,2.6,2.5,2.5,1.7,1.9,1.4,1.0,1.4,0.8,0.8,0.6,0.2,0.2,0.3,0.2,0.3,0.2,0.1,0.2,0.2,0.0,0.2,0.1,0.0,0.1,0.1,-,0.1,0.1,0.1,-,0.0,-,0.1,-,0.0,0.0,0.0
162,-,-,-,-,-,-,-,0.0,0.0,0.0,0.1,-,0.3,0.4,0.8,0.7,0.7,2.0,2.3,2.4,2.3,3.3,2.9,2.8,2.3,2.9,2.8,1.8,1.2,1.7,1.4,1.0,1.2,0.7,0.8,0.3,0.5,0.3,0.5,0.3,0.3,0.2,0.1,0.3,0.1,0.1,0.2,0.1,0.1,0.1,0.0,0.1,0.0,0.0,-,0.0,0.0,0.0,0.0,0.1,0.0,-,0.1
163,-,-,-,-,-,-,-,0.1,-,-,0.0,-,0.3,0.3,0.3,0.4,0.7,1.3,1.3,1.7,2.0,2.1,2.3,2.0,1.9,2.3,2.0,2.2,1.0,1.4,0.9,1.1,1.2,0.6,0.4,0.5,0.4,0.5,0.2,0.1,0.2,0.3,0.1,0.2,0.1,0.1,0.1,-,0.2,0.1,0.1,0.1,0.1,-,-,-,0.0,0.0,-,0.0,-,0.1,0.3
